# Onda Corporation
# Hydrophone Calibration Data
# 
Calibration_DATE	17-Nov-2015
# 
# Hydrophone description
HYD_MFG	ONDA
HYD_MODEL	HGL
HYD_APERTURE_NOM_UM	0200
HYD_SN	1765
HYD_POLARITY	Positive
# 
# External preamplifier description
AMP_MFG	NONE
AMP_MODEL	NONE
AMP_SN	NONE
AMP_GAIN_NOM_DB	NONE
AMP_BW_MHZ	NONE
AMP_OUTPUT_IMP_NOM_OHMS	NONE
# 
# Cable/adaptor between hydrophone and preamplifier
CA_BWT_HYD_AMP	NONE 
# 
# Environment
ELECTRICAL_LOAD	OpenCircuit
WATER_TEMP_DEGC	23.5
WATER_RESISTIVITY_MOHMS-CM	3.5
#
# Calibration data
# Freq(MHz) Sens(dB re. 1V/uPa) Sens(V/Pa) Sens(V^2cm^2/W) Cap(pF)
#
DATA_FIELDS	5
DATA_FIELD	FREQ_MHz
DATA_FIELD	SENS_DB
DATA_FIELD	SENS_VPERPA
DATA_FIELD	SENS_V2CM2PERW
DATA_FIELD	CAP_PF
# End of file header
HEADER_END	0
 4.600	 -265.56	  5.273E-008	4.170E-005	      9.621
 4.650	 -265.43	  5.350E-008	4.294E-005	      9.615
 4.700	 -265.41	  5.366E-008	4.319E-005	      9.608
 4.750	 -265.52	  5.299E-008	4.211E-005	      9.602
 4.800	 -265.74	  5.163E-008	3.999E-005	      9.596
 4.850	 -265.92	  5.061E-008	3.842E-005	      9.590
 4.900	 -265.92	  5.057E-008	3.836E-005	      9.584
 4.950	 -265.88	  5.083E-008	3.875E-005	      9.579
 5.000	 -265.87	  5.089E-008	3.885E-005	      9.573
 5.050	 -265.87	  5.090E-008	3.887E-005	      9.567
 5.100	 -265.94	  5.047E-008	3.821E-005	      9.561
 5.150	 -265.96	  5.033E-008	3.800E-005	      9.556
 5.200	 -265.92	  5.058E-008	3.838E-005	      9.550
 5.250	 -265.91	  5.063E-008	3.845E-005	      9.545
 5.300	 -265.91	  5.061E-008	3.843E-005	      9.539
 5.350	 -265.92	  5.057E-008	3.836E-005	      9.534
 5.400	 -265.97	  5.027E-008	3.791E-005	      9.529
 5.450	 -266.04	  4.990E-008	3.735E-005	      9.524
