# Onda Corporation
# Hydrophone Preamplifier Calibration Data
#
FILE_NAME,AG-A2010-20-060-1132_1-20c_151117.txt
#
AMP_CAL_DATE,17-Nov-2015
AMP_MFG,ONDA
AMP_MODEL,AG-A2010
AMP_SN,1132
AMP_GAIN_NOM_DB,20
AMP_BW_NOM_MHZ,060
AMP_OUTPUT_IMP_NOM_OHMS,50
AMP_INPUT_CAP_NOM_PF,6.2
AMP_INPUT_CAP_DATA_TYPE,CALIBRATED
AMP_GAIN_UNCERT_DB,0.03
AMP_CAP_UNCERT_PCT,2.5
#
# Calibration Data
# Freq(MHz) Gain(dB) Phase(deg) Cap(pF)
#
DATA_FIELDS,4
DATA_FIELD,FREQ_MHZ
DATA_FIELD,GAIN_DB
DATA_FIELD,PHASE_DEG
DATA_FIELD,CAP_PF
#
# End of file header
HEADER_END,0
007.950,19.61,-28.22,6.21
008.000,19.61,-28.35,6.21
008.050,19.61,-28.48,6.21
008.100,19.60,-28.61,6.21
008.150,19.60,-28.82,6.21
008.200,19.59,-29.02,6.21
008.250,19.58,-29.26,6.21
008.300,19.57,-29.49,6.21
008.350,19.56,-29.72,6.21
008.400,19.55,-29.95,6.21
008.450,19.55,-30.12,6.21
008.500,19.54,-30.30,6.21
008.550,19.54,-30.43,6.21
008.600,19.53,-30.56,6.21
008.650,19.53,-30.69,6.21
008.700,19.53,-30.82,6.21
008.750,19.53,-30.98,6.21
008.800,19.52,-31.13,6.22
008.850,19.51,-31.31,6.22
008.900,19.50,-31.49,6.22
008.950,19.50,-31.67,6.22
009.000,19.49,-31.85,6.22
009.050,19.48,-32.03,6.22
009.100,19.47,-32.21,6.22
009.150,19.47,-32.39,6.22
009.200,19.47,-32.58,6.22
009.250,19.47,-32.76,6.22
009.300,19.46,-32.94,6.22
009.350,19.46,-33.12,6.22
009.400,19.45,-33.30,6.22
009.450,19.45,-33.47,6.22
009.500,19.45,-33.64,6.22
009.550,19.45,-33.82,6.22
009.600,19.45,-33.99,6.22
009.650,19.45,-34.11,6.22
009.700,19.44,-34.22,6.22
009.750,19.43,-34.12,6.22
009.800,19.42,-34.01,6.22
009.850,19.42,-33.90,6.22
009.900,19.41,-33.79,6.22
009.950,19.40,-33.73,6.22
010.000,19.39,-33.67,6.22
010.050,19.38,-33.91,6.23
010.100,19.38,-34.15,6.23
010.150,19.37,-34.39,6.23
010.200,19.36,-34.63,6.23
010.250,19.36,-34.87,6.23
010.300,19.35,-35.11,6.23
010.350,19.34,-35.35,6.23
010.400,19.34,-35.59,6.23
010.450,19.33,-35.83,6.23
010.500,19.33,-36.07,6.23
010.550,19.32,-36.31,6.23
010.600,19.31,-36.55,6.23
010.650,19.31,-36.79,6.23
010.700,19.30,-37.03,6.23
010.750,19.29,-37.27,6.23
010.800,19.29,-37.51,6.23
010.850,19.28,-37.75,6.23
010.900,19.27,-37.99,6.23
010.950,19.27,-38.23,6.23
011.000,19.26,-38.47,6.23
011.050,19.26,-38.63,6.23
011.100,19.25,-38.79,6.23
011.150,19.24,-38.95,6.23
011.200,19.24,-39.10,6.23
011.250,19.23,-39.26,6.23
011.300,19.23,-39.42,6.24
011.350,19.22,-39.58,6.24
011.400,19.21,-39.74,6.24
011.450,19.21,-39.90,6.24
011.500,19.20,-40.06,6.24
011.550,19.20,-40.21,6.24
011.600,19.19,-40.37,6.24
011.650,19.18,-40.53,6.24
011.700,19.18,-40.69,6.24
011.750,19.17,-40.85,6.24
011.800,19.17,-41.01,6.24
011.850,19.16,-41.16,6.24
011.900,19.15,-41.32,6.24
011.950,19.15,-41.48,6.24
012.000,19.14,-41.64,6.24
012.050,19.14,-41.80,6.24
012.100,19.13,-41.95,6.24
012.150,19.12,-42.11,6.24
012.200,19.12,-42.27,6.24
012.250,19.11,-42.43,6.24
012.300,19.10,-42.58,6.24
012.350,19.10,-42.74,6.24
012.400,19.09,-42.90,6.24
012.450,19.08,-43.05,6.24
012.500,19.08,-43.21,6.24
012.550,19.07,-43.37,6.25
012.600,19.06,-43.52,6.25
012.650,19.06,-43.68,6.25
012.700,19.05,-43.84,6.25
012.750,19.05,-44.00,6.25
012.800,19.04,-44.15,6.25
012.850,19.03,-44.31,6.25
012.900,19.03,-44.47,6.25
012.950,19.02,-44.62,6.25
013.000,19.01,-44.78,6.25
013.050,19.01,-44.93,6.25
013.100,19.00,-45.09,6.25
013.150,18.99,-45.24,6.25
013.200,18.99,-45.39,6.25
013.250,18.98,-45.55,6.25
013.300,18.97,-45.70,6.25
013.350,18.97,-45.85,6.25
013.400,18.96,-46.00,6.25
013.450,18.95,-46.16,6.25
013.500,18.95,-46.31,6.25
013.550,18.94,-46.46,6.25
013.600,18.94,-46.62,6.25
013.650,18.93,-46.77,6.25
013.700,18.92,-46.92,6.25
013.750,18.92,-47.08,6.26
013.800,18.91,-47.23,6.26
013.850,18.90,-47.38,6.26
013.900,18.90,-47.53,6.26
013.950,18.89,-47.69,6.26
014.000,18.88,-47.84,6.26
014.050,18.88,-47.99,6.26
014.100,18.87,-48.13,6.26
014.150,18.86,-48.28,6.26
014.200,18.86,-48.43,6.26
014.250,18.85,-48.58,6.26
014.300,18.84,-48.72,6.26
014.350,18.84,-48.87,6.26
014.400,18.83,-49.02,6.26
014.450,18.82,-49.16,6.26
014.500,18.81,-49.31,6.26
014.550,18.81,-49.46,6.26
014.600,18.80,-49.60,6.26
014.650,18.79,-49.75,6.26
014.700,18.79,-49.90,6.26
014.750,18.78,-50.05,6.26
014.800,18.77,-50.19,6.26
014.850,18.77,-50.34,6.26
