# Onda Corporation
# Hydrophone Preamplifier Calibration Data
#
FILE_NAME AG-A2010-20-060-1132_151117.txt
#
AMP_CAL_DATE 17-Nov-2015
AMP_MFG ONDA
AMP_MODEL AG-A2010
AMP_SN 1132
AMP_GAIN_NOM_DB 20
AMP_BW_NOM_MHZ 060
AMP_OUTPUT_IMP_NOM_OHMS 50
AMP_INPUT_CAP_NOM_PF 6.2 
AMP_INPUT_CAP_DATA_TYPE CALIBRATED
AMP_GAIN_UNCERT_DB 0.03
AMP_CAP_UNCERT_PCT 2.5
#
# Calibration Data
# Freq(MHz) Gain(dB) Phase(deg) Cap(pF)
#
DATA_FIELDS 4
DATA_FIELD FREQ_MHZ
DATA_FIELD GAIN_DB
DATA_FIELD PHASE_DEG
DATA_FIELD CAP_PF
#
# End of file header
HEADER_END 0
004.000 19.90 -14.25 6.18
004.100 19.90 -14.66 6.18
004.200 19.89 -15.04 6.18
004.300 19.88 -15.43 6.18
004.400 19.87 -15.81 6.18
004.500 19.86 -16.14 6.18
004.600 19.86 -16.46 6.18
004.700 19.86 -16.78 6.18
004.800 19.85 -17.16 6.18
004.900 19.85 -17.54 6.18
005.000 19.85 -17.93 6.18
005.100 19.84 -18.28 6.19
005.200 19.84 -18.61 6.19
005.300 19.83 -18.94 6.19
005.400 19.83 -19.31 6.19
005.500 19.82 -19.71 6.19
005.600 19.81 -20.11 6.19
005.700 19.80 -20.48 6.19
005.800 19.80 -20.80 6.19
005.900 19.80 -21.13 6.19
006.000 19.80 -21.46 6.19
006.100 19.79 -21.80 6.19
006.200 19.77 -22.14 6.19
006.300 19.76 -22.49 6.19
006.400 19.75 -22.85 6.20
006.500 19.75 -23.21 6.20
006.600 19.74 -23.58 6.20
006.700 19.72 -23.96 6.20
006.800 19.71 -24.34 6.20
006.900 19.70 -24.72 6.20
007.000 19.70 -25.09 6.20
007.100 19.70 -25.46 6.20
007.200 19.69 -25.83 6.20
007.300 19.68 -26.13 6.20
007.400 19.67 -26.42 6.20
007.500 19.66 -26.71 6.20
007.600 19.64 -27.07 6.21
007.700 19.63 -27.44 6.21
007.800 19.62 -27.81 6.21
007.900 19.61 -28.09 6.21
008.000 19.61 -28.35 6.21
008.100 19.60 -28.61 6.21
008.200 19.59 -29.02 6.21
008.300 19.57 -29.49 6.21
008.400 19.55 -29.95 6.21
008.500 19.54 -30.30 6.21
008.600 19.53 -30.56 6.21
008.700 19.53 -30.82 6.21
008.800 19.52 -31.13 6.22
008.900 19.50 -31.49 6.22
009.000 19.49 -31.85 6.22
009.100 19.47 -32.21 6.22
009.200 19.47 -32.58 6.22
009.300 19.46 -32.94 6.22
009.400 19.45 -33.30 6.22
009.500 19.45 -33.64 6.22
009.600 19.45 -33.99 6.22
009.700 19.44 -34.22 6.22
009.800 19.42 -34.01 6.22
009.900 19.41 -33.79 6.22
010.000 19.39 -33.67 6.22
011.000 19.26 -38.47 6.23
012.000 19.14 -41.64 6.24
013.000 19.01 -44.78 6.25
014.000 18.88 -47.84 6.26
015.000 18.75 -50.78 6.27
016.000 18.63 -53.71 6.27
017.000 18.49 -56.49 6.28
018.000 18.36 -59.26 6.29
019.000 18.26 -61.92 6.30
020.000 18.10 -64.64 6.31
021.000 18.00 -67.27 6.31
022.000 17.89 -69.90 6.32
023.000 17.78 -72.49 6.33
024.000 17.67 -75.13 6.34
025.000 17.57 -77.63 6.35
026.000 17.47 -80.25 6.36
027.000 17.37 -82.70 6.35
028.000 17.26 -85.30 6.35
029.000 17.19 -87.82 6.38
030.000 17.09 -90.39 6.39
031.000 16.98 -92.96 6.39
032.000 16.89 -95.49 6.41
